score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
5,"Taman Safari versi murahnya dbanding yg d Bogor n Jatim. HTM wkend dewasa 65k, anak:45k dapet voucher makan 20k/tiket. Ada atraksi satwa dilanjut dg dolphin show. Lokasinya asik deket pantai. Setiap malam minggu ada safari prime jam 18.30 …",taman safari versi murahnya dbanding yg d bogor n jatim htm wkend dewasa 65k anak45k dapet voucher makan 20ktiket ada atraksi satwa dilanjut dg dolphin show lokasinya asik deket pantai setiap malam minggu ada safari prime jam 1830 ,taman safari versi murahnya dbanding yg d bogor n jatim htm wkend dewasa 65k anak45k dapet voucher makan 20ktiket atraksi satwa dilanjut dg dolphin show lokasinya asik deket pantai malam minggu safari prime jam 1830,"['taman', 'safari', 'versi', 'murahnya', 'dbanding', 'yg', 'd', 'bogor', 'n', 'jatim', 'htm', 'wkend', 'dewasa', '65k', 'anak45k', 'dapet', 'voucher', 'makan', '20ktiket', 'atraksi', 'satwa', 'dilanjut', 'dg', 'dolphin', 'show', 'lokasinya', 'asik', 'deket', 'pantai', 'malam', 'minggu', 'safari', 'prime', 'jam', '1830']",taman safari versi murah dbanding yg d bogor n jatim htm wkend dewasa 65k anak45k dapet voucher makan 20ktiket atraksi satwa lanjut dg dolphin show lokasi asik deket pantai malam minggu safari prime jam 1830,positif
4,"Pengunjungnya pas ksna rame ada bbrp bis dan Mbl Prbdi

Tp Perawatan nya kurang ya.. …",pengunjungnya pas ksna rame ada bbrp bis dan mbl prbditp perawatan nya kurang ya ,pengunjungnya pas ksna rame bbrp bis mbl prbditp perawatan nya ya,"['pengunjungnya', 'pas', 'ksna', 'rame', 'bbrp', 'bis', 'mbl', 'prbditp', 'perawatan', 'nya', 'ya']",unjung pas ksna rame bbrp bis mbl prbditp awat nya ya,positif
5,Kebun binatang mini di tepi pantai,kebun binatang mini di tepi pantai,kebun binatang mini tepi pantai,"['kebun', 'binatang', 'mini', 'tepi', 'pantai']",kebun binatang mini tepi pantai,positif
5,"Kebun binatang di pinggir pantai,, tempat seru dan asyik buat liburan bersama keluarga,, banyak tempat duduk,, dan tersedia pancuran buat bilas sehabis berenang di pantai,,",kebun binatang di pinggir pantai tempat seru dan asyik buat liburan bersama keluarga banyak tempat duduk dan tersedia pancuran buat bilas sehabis berenang di pantai,kebun binatang pinggir pantai seru asyik liburan keluarga duduk tersedia pancuran bilas sehabis berenang pantai,"['kebun', 'binatang', 'pinggir', 'pantai', 'seru', 'asyik', 'liburan', 'keluarga', 'duduk', 'tersedia', 'pancuran', 'bilas', 'sehabis', 'berenang', 'pantai']",kebun binatang pinggir pantai seru asyik libur keluarga duduk sedia pancur bilas habis renang pantai,positif
5,Tempat wisata yang komplit menurutku.puas pokonya bawa anak2 maen ke sini,tempat wisata yang komplit menurutkupuas pokonya bawa anak2 maen ke sini,wisata komplit menurutkupuas pokonya bawa anak2 maen,"['wisata', 'komplit', 'menurutkupuas', 'pokonya', 'bawa', 'anak2', 'maen']",wisata komplit menurutkupuas poko bawa anak2 maen,positif
5,Sangat cocok buat anak-anak,sangat cocok buat anakanak,cocok anakanak,"['cocok', 'anakanak']",cocok anakanak,positif
5,"Josh mantap selain wisata edukasi buat anak"" Tempat ini cocok buat liburan bersama keliarga",josh mantap selain wisata edukasi buat anak tempat ini cocok buat liburan bersama keliarga,josh mantap wisata edukasi anak cocok liburan keliarga,"['josh', 'mantap', 'wisata', 'edukasi', 'anak', 'cocok', 'liburan', 'keliarga']",josh mantap wisata edukasi anak cocok libur keliarga,positif
4,btw tempate cakep cakk tapi harga makanan gak ngotak,btw tempate cakep cakk tapi harga makanan gak ngotak,btw tempate cakep cakk harga makanan gak ngotak,"['btw', 'tempate', 'cakep', 'cakk', 'harga', 'makanan', 'gak', 'ngotak']",btw tempate cakep cakk harga makan gak ngotak,positif
5,Tempat wisata edukasi buat anak-anak. Keren juga atraksi hewan-hewannya,tempat wisata edukasi buat anakanak keren juga atraksi hewanhewannya,wisata edukasi anakanak keren atraksi hewanhewannya,"['wisata', 'edukasi', 'anakanak', 'keren', 'atraksi', 'hewanhewannya']",wisata edukasi anakanak keren atraksi hewanhewannya,positif
5,Tempat cukup menarik cuma tiket klo bisa diturunkan harganya biar masyarakat kecil menengah bisa sering2 berkunjung,tempat cukup menarik cuma tiket klo bisa diturunkan harganya biar masyarakat kecil menengah bisa sering2 berkunjung,menarik tiket klo diturunkan harganya biar masyarakat menengah sering2 berkunjung,"['menarik', 'tiket', 'klo', 'diturunkan', 'harganya', 'biar', 'masyarakat', 'menengah', 'sering2', 'berkunjung']",tarik tiket klo turun harga biar masyarakat tengah sering2 kunjung,positif
5,Cukup bagus,cukup bagus,bagus,['bagus'],bagus,positif
4,jangan bawa makanan dari luar ya :),jangan bawa makanan dari luar ya ,bawa makanan ya,"['bawa', 'makanan', 'ya']",bawa makan ya,positif
5,"HTM, cocok sih untuk semua pertunjukan.. sangat menghibur dan menarik meski wahana hewan masih belum lengkap.",htm cocok sih untuk semua pertunjukan sangat menghibur dan menarik meski wahana hewan masih belum lengkap,htm cocok sih pertunjukan menghibur menarik wahana hewan lengkap,"['htm', 'cocok', 'sih', 'pertunjukan', 'menghibur', 'menarik', 'wahana', 'hewan', 'lengkap']",htm cocok sih tunjuk hibur tarik wahana hewan lengkap,positif
5,Safari mini yang rekomended,safari mini yang rekomended,safari mini rekomended,"['safari', 'mini', 'rekomended']",safari mini rekomended,positif
5,Bersih rapih,bersih rapih,bersih rapih,"['bersih', 'rapih']",bersih rapih,positif
5,Direkomendasikan Pengunjung,direkomendasikan pengunjung,direkomendasikan pengunjung,"['direkomendasikan', 'pengunjung']",rekomendasi unjung,positif
1,"satpam g jelas, tidak ramah ditanya apa2 tidak tahu
foto grafer g jelas, malah nutupin kamera pribadi
area kotor, tidak terjaga kebersihannya",satpam g jelas tidak ramah ditanya apa2 tidak tahufoto grafer g jelas malah nutupin kamera pribadiarea kotor tidak terjaga kebersihannya,satpam g ramah apa2 tahufoto grafer g nutupin kamera pribadiarea kotor terjaga kebersihannya,"['satpam', 'g', 'ramah', 'apa2', 'tahufoto', 'grafer', 'g', 'nutupin', 'kamera', 'pribadiarea', 'kotor', 'terjaga', 'kebersihannya']",satpam g ramah apa2 tahufoto grafer g nutupin kamera pribadiarea kotor jaga bersih,negatif
5,Suasana asri,suasana asri,suasana asri,"['suasana', 'asri']",suasana asri,positif
5,bagus tempatnya sangat cocok untuk anak anak tk cukup mengedukasi,bagus tempatnya sangat cocok untuk anak anak tk cukup mengedukasi,bagus tempatnya cocok anak anak tk mengedukasi,"['bagus', 'tempatnya', 'cocok', 'anak', 'anak', 'tk', 'mengedukasi']",bagus tempat cocok anak anak tk edukasi,positif
4,Tempat edukasi untuk anak dan pengenalan lumba-lumba kepada anak. Tapi tempatnya masih belum semuanya dibangun.,tempat edukasi untuk anak dan pengenalan lumbalumba kepada anak tapi tempatnya masih belum semuanya dibangun,edukasi anak pengenalan lumbalumba anak tempatnya dibangun,"['edukasi', 'anak', 'pengenalan', 'lumbalumba', 'anak', 'tempatnya', 'dibangun']",edukasi anak kenal lumbalumba anak tempat bangun,positif
4,"Akses msk Safari beach jateng sdh bagus, tp knp hrs bli tiket msk ke pantai sigandu pdhal kami ga ke pantai sigandu.
Utk zoo lumayan beragam jenis hewannya,bs naik gajah nd onta juga, ada jg …",akses msk safari beach jateng sdh bagus tp knp hrs bli tiket msk ke pantai sigandu pdhal kami ga ke pantai siganduutk zoo lumayan beragam jenis hewannyabs naik gajah nd onta juga ada jg ,akses msk safari beach jateng sdh bagus tp knp hrs bli tiket msk pantai sigandu pdhal ga pantai siganduutk zoo lumayan beragam jenis hewannyabs gajah nd onta jg,"['akses', 'msk', 'safari', 'beach', 'jateng', 'sdh', 'bagus', 'tp', 'knp', 'hrs', 'bli', 'tiket', 'msk', 'pantai', 'sigandu', 'pdhal', 'ga', 'pantai', 'siganduutk', 'zoo', 'lumayan', 'beragam', 'jenis', 'hewannyabs', 'gajah', 'nd', 'onta', 'jg']",akses msk safari beach jateng sdh bagus tp knp hrs bli tiket msk pantai sigandu pdhal ga pantai siganduutk zoo lumayan agam jenis hewannyabs gajah nd onta jg,positif
5,"Puas seharian... 💕
Hiburan cukup lengkap,
Atraksi binatang
Akrobatik show …",puas seharian hiburan cukup lengkapatraksi binatangakrobatik show ,puas seharian hiburan lengkapatraksi binatangakrobatik show,"['puas', 'seharian', 'hiburan', 'lengkapatraksi', 'binatangakrobatik', 'show']",puas hari hibur lengkapatraksi binatangakrobatik show,positif
5,"Tempat parkir luas, enak juga selain lumba² juga ada kebun binatang sama laut..

Akses jalan ke sana juga jalannya lumayan bagus, dan mudah dijangkau …",tempat parkir luas enak juga selain lumba juga ada kebun binatang sama lautakses jalan ke sana juga jalannya lumayan bagus dan mudah dijangkau ,parkir luas enak lumba kebun binatang lautakses jalan jalannya lumayan bagus mudah dijangkau,"['parkir', 'luas', 'enak', 'lumba', 'kebun', 'binatang', 'lautakses', 'jalan', 'jalannya', 'lumayan', 'bagus', 'mudah', 'dijangkau']",parkir luas enak lumba kebun binatang lautakses jalan jalan lumayan bagus mudah jangkau,positif
4,"Ok lah, sayang sekali jauh dr rumahku",ok lah sayang sekali jauh dr rumahku,ok sayang dr rumahku,"['ok', 'sayang', 'dr', 'rumahku']",ok sayang dr rumah,positif
5,Bagus,bagus,bagus,['bagus'],bagus,positif
5,"Sebuah kebun binatang yang berlokasi di pinggir pantai. SBJ berkonsep show dan edukasi yang menarik. Beberapa tampilan adalah show lumba², ragam satwa (anjing, burung kakatua, kucing, binturong, dll.), show gajah, show burung pemangsa, …",sebuah kebun binatang yang berlokasi di pinggir pantai sbj berkonsep show dan edukasi yang menarik beberapa tampilan adalah show lumba ragam satwa anjing burung kakatua kucing binturong dll show gajah show burung pemangsa ,kebun binatang berlokasi pinggir pantai sbj berkonsep show edukasi menarik tampilan show lumba ragam satwa anjing burung kakatua kucing binturong dll show gajah show burung pemangsa,"['kebun', 'binatang', 'berlokasi', 'pinggir', 'pantai', 'sbj', 'berkonsep', 'show', 'edukasi', 'menarik', 'tampilan', 'show', 'lumba', 'ragam', 'satwa', 'anjing', 'burung', 'kakatua', 'kucing', 'binturong', 'dll', 'show', 'gajah', 'show', 'burung', 'pemangsa']",kebun binatang lokasi pinggir pantai sbj konsep show edukasi tarik tampil show lumba ragam satwa anjing burung kakatua kucing binturong dll show gajah show burung mangsa,positif
5,"Pertmuan LF IIBF disini...tmpt nyaman banget..blue resort nya menunya enak2 bgt...pantai bersih, tertata rapi,fasilitas lengkap...",pertmuan lf iibf disinitmpt nyaman bangetblue resort nya menunya enak2 bgtpantai bersih tertata rapifasilitas lengkap,pertmuan lf iibf disinitmpt nyaman bangetblue resort nya menunya enak2 bgtpantai bersih tertata rapifasilitas lengkap,"['pertmuan', 'lf', 'iibf', 'disinitmpt', 'nyaman', 'bangetblue', 'resort', 'nya', 'menunya', 'enak2', 'bgtpantai', 'bersih', 'tertata', 'rapifasilitas', 'lengkap']",pertmuan lf iibf disinitmpt nyaman bangetblue resort nya menu enak2 bgtpantai bersih tata rapifasilitas lengkap,positif
5,Konsep dan tempatnya keren siih,konsep dan tempatnya keren siih,konsep tempatnya keren siih,"['konsep', 'tempatnya', 'keren', 'siih']",konsep tempat keren siih,positif
4,Bagus .. pantainya bersih . Terawat,bagus  pantainya bersih  terawat,bagus pantainya bersih terawat,"['bagus', 'pantainya', 'bersih', 'terawat']",bagus pantai bersih awat,positif
5,"Untuk pengunjung luar kota karena belum tahu akses jadi 1 dengan pantai Sigandu sudah ditarik biaya masuk di pos awal
Tiket masuk weekend 50 ribu per orang …",untuk pengunjung luar kota karena belum tahu akses jadi 1 dengan pantai sigandu sudah ditarik biaya masuk di pos awaltiket masuk weekend 50 ribu per orang ,pengunjung kota akses 1 pantai sigandu ditarik biaya masuk pos awaltiket masuk weekend 50 ribu orang,"['pengunjung', 'kota', 'akses', '1', 'pantai', 'sigandu', 'ditarik', 'biaya', 'masuk', 'pos', 'awaltiket', 'masuk', 'weekend', '50', 'ribu', 'orang']",unjung kota akses 1 pantai sigandu tarik biaya masuk pos awaltiket masuk weekend 50 ribu orang,positif
5,Paling lengkap dan bagus,paling lengkap dan bagus,lengkap bagus,"['lengkap', 'bagus']",lengkap bagus,positif
5,"Paket wisata yg lumayan lengkap, ada kebun binatang, pantai, dan yg paling ditunggu yaitu atraksi lumba-lumba, cocok utk keluarga.
Dengan harga tiket 65.000 (pas weekend) atau 50.000 (hari biasa) menurut aku n …",paket wisata yg lumayan lengkap ada kebun binatang pantai dan yg paling ditunggu yaitu atraksi lumbalumba cocok utk keluargadengan harga tiket 65000 pas weekend atau 50000 hari biasa menurut aku n ,paket wisata yg lumayan lengkap kebun binatang pantai yg ditunggu atraksi lumbalumba cocok utk keluargadengan harga tiket 65000 pas weekend 50000 n,"['paket', 'wisata', 'yg', 'lumayan', 'lengkap', 'kebun', 'binatang', 'pantai', 'yg', 'ditunggu', 'atraksi', 'lumbalumba', 'cocok', 'utk', 'keluargadengan', 'harga', 'tiket', '65000', 'pas', 'weekend', '50000', 'n']",paket wisata yg lumayan lengkap kebun binatang pantai yg tunggu atraksi lumbalumba cocok utk keluargadengan harga tiket 65000 pas weekend 50000 n,positif
5,"Atraksi lumba lumbanya super hebat. Anak saya yang tadinya takut, sampai ingin foto bareng lumba lumba.",atraksi lumba lumbanya super hebat anak saya yang tadinya takut sampai ingin foto bareng lumba lumba,atraksi lumba lumbanya super hebat anak takut foto bareng lumba lumba,"['atraksi', 'lumba', 'lumbanya', 'super', 'hebat', 'anak', 'takut', 'foto', 'bareng', 'lumba', 'lumba']",atraksi lumba lumbanya super hebat anak takut foto bareng lumba lumba,positif
4,Kesini pas weekend harga tiket anak 2-6th 45 dewasa 65 parkir mobil 10rb. Utk kebun binatangnya lumayan beragam hanya saja kebersihan perlu ditingkatkan terutama kaca2 dkandang hewannya sehingga bs terlihat lebih jelas namun disanyangkan …,kesini pas weekend harga tiket anak 26th 45 dewasa 65 parkir mobil 10rb utk kebun binatangnya lumayan beragam hanya saja kebersihan perlu ditingkatkan terutama kaca2 dkandang hewannya sehingga bs terlihat lebih jelas namun disanyangkan ,kesini pas weekend harga tiket anak 26th 45 dewasa 65 parkir mobil 10rb utk kebun binatangnya lumayan beragam kebersihan ditingkatkan kaca2 dkandang hewannya bs disanyangkan,"['kesini', 'pas', 'weekend', 'harga', 'tiket', 'anak', '26th', '45', 'dewasa', '65', 'parkir', 'mobil', '10rb', 'utk', 'kebun', 'binatangnya', 'lumayan', 'beragam', 'kebersihan', 'ditingkatkan', 'kaca2', 'dkandang', 'hewannya', 'bs', 'disanyangkan']",kesini pas weekend harga tiket anak 26th 45 dewasa 65 parkir mobil 10rb utk kebun binatang lumayan agam bersih tingkat kaca2 dkandang hewan bs disanyangkan,positif
5,Mantap bisa ditungguin n bisa lihat ngerjainnya jd ngk takut part dituker,mantap bisa ditungguin n bisa lihat ngerjainnya jd ngk takut part dituker,mantap ditungguin n lihat ngerjainnya jd ngk takut part dituker,"['mantap', 'ditungguin', 'n', 'lihat', 'ngerjainnya', 'jd', 'ngk', 'takut', 'part', 'dituker']",mantap ditungguin n lihat ngerjainnya jd ngk takut part dituker,positif
1,"Sangat mengecewakan jauh dibawah ekspektasi padahal piknik sekolah tidak ada tour guide hewan hanya sedikit tempat bilas anak terbuka apalagi soal makanan, tidak boleh bawa makanan dari luar tapi harga di dalam tidak masuk akal. Dim sum 3 …",sangat mengecewakan jauh dibawah ekspektasi padahal piknik sekolah tidak ada tour guide hewan hanya sedikit tempat bilas anak terbuka apalagi soal makanan tidak boleh bawa makanan dari luar tapi harga di dalam tidak masuk akal dim sum 3 ,mengecewakan dibawah ekspektasi piknik sekolah tour guide hewan bilas anak terbuka makanan bawa makanan harga masuk akal dim sum 3,"['mengecewakan', 'dibawah', 'ekspektasi', 'piknik', 'sekolah', 'tour', 'guide', 'hewan', 'bilas', 'anak', 'terbuka', 'makanan', 'bawa', 'makanan', 'harga', 'masuk', 'akal', 'dim', 'sum', '3']",kecewa bawah ekspektasi piknik sekolah tour guide hewan bilas anak buka makan bawa makan harga masuk akal dim sum 3,negatif
5,Anak anak senang hati pun riang gembira,anak anak senang hati pun riang gembira,anak anak senang hati riang gembira,"['anak', 'anak', 'senang', 'hati', 'riang', 'gembira']",anak anak senang hati riang gembira,positif
4,"Wahana ⭐⭐⭐⭐
Hewannya tidak banyak,
Area bermain di area pantai berpasirnya tidak terlalu luas. …",wahana hewannya tidak banyakarea bermain di area pantai berpasirnya tidak terlalu luas ,wahana hewannya banyakarea bermain area pantai berpasirnya luas,"['wahana', 'hewannya', 'banyakarea', 'bermain', 'area', 'pantai', 'berpasirnya', 'luas']",wahana hewan banyakarea main area pantai pasir luas,positif
5,"Kalian sdh bagus sbnre, tp spot2 yg utk melihat hewan mnrt sya segera dibenahi scptnya, brg2 dibawah wahana lumba2 singkirkan sja pak krn mirip gudang jadinya, dan pertahankan kerimbunan serta kenyamanan, jgn smpe sprt solo, berubah nmn pst ckup sx ksna, sprt padang mashar,, panas bikin kapok,,",kalian sdh bagus sbnre tp spot2 yg utk melihat hewan mnrt sya segera dibenahi scptnya brg2 dibawah wahana lumba2 singkirkan sja pak krn mirip gudang jadinya dan pertahankan kerimbunan serta kenyamanan jgn smpe sprt solo berubah nmn pst ckup sx ksna sprt padang mashar panas bikin kapok,sdh bagus sbnre tp spot2 yg utk hewan mnrt sya dibenahi scptnya brg2 dibawah wahana lumba2 singkirkan sja krn gudang pertahankan kerimbunan kenyamanan jgn smpe sprt solo berubah nmn pst ckup sx ksna sprt padang mashar panas bikin kapok,"['sdh', 'bagus', 'sbnre', 'tp', 'spot2', 'yg', 'utk', 'hewan', 'mnrt', 'sya', 'dibenahi', 'scptnya', 'brg2', 'dibawah', 'wahana', 'lumba2', 'singkirkan', 'sja', 'krn', 'gudang', 'pertahankan', 'kerimbunan', 'kenyamanan', 'jgn', 'smpe', 'sprt', 'solo', 'berubah', 'nmn', 'pst', 'ckup', 'sx', 'ksna', 'sprt', 'padang', 'mashar', 'panas', 'bikin', 'kapok']",sdh bagus sbnre tp spot2 yg utk hewan mnrt sya benah scptnya brg2 bawah wahana lumba2 singkir sja krn gudang tahan rimbun nyaman jgn smpe sprt solo ubah nmn pst ckup sx ksna sprt padang mashar panas bikin kapok,positif
5,Luarbiasa,luarbiasa,luarbiasa,['luarbiasa'],luarbiasa,positif
1,Kecewa bgt tadi kesini jauh2 udah pantengin ignya terus biar ada dolphin tayang mlh udah sampe ktnya ga tayang yaallah😭😭 ternyata bikin story di Ig waktu kami masih diperjalanan …,kecewa bgt tadi kesini jauh2 udah pantengin ignya terus biar ada dolphin tayang mlh udah sampe ktnya ga tayang yaallah ternyata bikin story di ig waktu kami masih diperjalanan ,kecewa bgt kesini jauh2 udah pantengin ignya biar dolphin tayang mlh udah sampe ktnya ga tayang yaallah bikin story ig diperjalanan,"['kecewa', 'bgt', 'kesini', 'jauh2', 'udah', 'pantengin', 'ignya', 'biar', 'dolphin', 'tayang', 'mlh', 'udah', 'sampe', 'ktnya', 'ga', 'tayang', 'yaallah', 'bikin', 'story', 'ig', 'diperjalanan']",kecewa bgt kesini jauh2 udah pantengin ignya biar dolphin tayang mlh udah sampe ktnya ga tayang yaallah bikin story ig jalan,negatif
5,"Nyaman, ada banyak hewan. Tempatnya Oke banget. sambil liat hewan trus mantai. cocok banget dateng sore. dapet vocer makan juga",nyaman ada banyak hewan tempatnya oke banget sambil liat hewan trus mantai cocok banget dateng sore dapet vocer makan juga,nyaman hewan tempatnya oke banget liat hewan trus mantai cocok banget dateng sore dapet vocer makan,"['nyaman', 'hewan', 'tempatnya', 'oke', 'banget', 'liat', 'hewan', 'trus', 'mantai', 'cocok', 'banget', 'dateng', 'sore', 'dapet', 'vocer', 'makan']",nyaman hewan tempat oke banget liat hewan trus manta cocok banget dateng sore dapet vocer makan,positif
2,"Sudah mencoba semua taman safari di jawa dan bali. Tapi yang ini paling kurang oke.
Dolphin show sangat membludak dan panas. …",sudah mencoba semua taman safari di jawa dan bali tapi yang ini paling kurang okedolphin show sangat membludak dan panas ,mencoba taman safari jawa bali okedolphin show membludak panas,"['mencoba', 'taman', 'safari', 'jawa', 'bali', 'okedolphin', 'show', 'membludak', 'panas']",coba taman safari jawa bal okedolphin show membludak panas,negatif
4,"Safari beach yg bagus ..tempat untuk berkumpul keluarga  cocok untuk anak2..banyak hewan2 dan pertunjukan lumba2 ,bisa main di pantai juga",safari beach yg bagus tempat untuk berkumpul keluarga  cocok untuk anak2banyak hewan2 dan pertunjukan lumba2 bisa main di pantai juga,safari beach yg bagus berkumpul keluarga cocok anak2banyak hewan2 pertunjukan lumba2 main pantai,"['safari', 'beach', 'yg', 'bagus', 'berkumpul', 'keluarga', 'cocok', 'anak2banyak', 'hewan2', 'pertunjukan', 'lumba2', 'main', 'pantai']",safari beach yg bagus kumpul keluarga cocok anak2banyak hewan2 tunjuk lumba2 main pantai,positif
5,"Bikin happy anak2... Yg bapak2 bisa mancing, anak2 bisa naik gajah unta sama liat lumba2, yg ibu2 bisa foto2...",bikin happy anak2 yg bapak2 bisa mancing anak2 bisa naik gajah unta sama liat lumba2 yg ibu2 bisa foto2,bikin happy anak2 yg bapak2 mancing anak2 gajah unta liat lumba2 yg ibu2 foto2,"['bikin', 'happy', 'anak2', 'yg', 'bapak2', 'mancing', 'anak2', 'gajah', 'unta', 'liat', 'lumba2', 'yg', 'ibu2', 'foto2']",bikin happy anak2 yg bapak2 mancing anak2 gajah unta liat lumba2 yg ibu2 foto2,positif
5,Kamar mandi bersihhh. Hewan terawat. Cafe bagus,kamar mandi bersihhh hewan terawat cafe bagus,kamar mandi bersihhh hewan terawat cafe bagus,"['kamar', 'mandi', 'bersihhh', 'hewan', 'terawat', 'cafe', 'bagus']",kamar mandi bersihhh hewan awat cafe bagus,positif
5,Kalau kami dayak bulusu nama burung ini Sangang,kalau kami dayak bulusu nama burung ini sangang,dayak bulusu nama burung sangang,"['dayak', 'bulusu', 'nama', 'burung', 'sangang']",dayak bulusu nama burung sangang,positif
5,Niceee....seruu,niceeeseruu,niceeeseruu,['niceeeseruu'],niceeeseruu,positif
2,"1. Jalan tidak ramah kursi roda / stroller, sebagian masih tanah bebatuan
2. Sekelas Taman Safari, sumpah ini ukuran kandang & kebersihan amat sangat tidak layak! Sempit, bau, kotor. …",1 jalan tidak ramah kursi roda  stroller sebagian masih tanah bebatuan2 sekelas taman safari sumpah ini ukuran kandang  kebersihan amat sangat tidak layak sempit bau kotor ,1 jalan ramah kursi roda stroller tanah bebatuan2 sekelas taman safari sumpah ukuran kandang kebersihan layak sempit bau kotor,"['1', 'jalan', 'ramah', 'kursi', 'roda', 'stroller', 'tanah', 'bebatuan2', 'sekelas', 'taman', 'safari', 'sumpah', 'ukuran', 'kandang', 'kebersihan', 'layak', 'sempit', 'bau', 'kotor']",1 jalan ramah kursi roda stroller tanah bebatuan2 kelas taman safari sumpah ukur kandang bersih layak sempit bau kotor,negatif
4,"htm terlalu mahal untuk wahana  yang tersedia

kurang lengkap untuk satwanya",htm terlalu mahal untuk wahana  yang tersediakurang lengkap untuk satwanya,htm mahal wahana tersediakurang lengkap satwanya,"['htm', 'mahal', 'wahana', 'tersediakurang', 'lengkap', 'satwanya']",htm mahal wahana tersediakurang lengkap satwa,positif
1,"Kecewa banget.. acara piknik dari sekolahan.. gak ada pemandu nya. padahal ada 2 pemandu.. tpi malah gak terkondisikan dgn baik.. lihat lumba"" aja desak""an. jalur masuk untuk keluar dan masuk, jalur keluar juga untuk keluar dan masuk. udah …",kecewa banget acara piknik dari sekolahan gak ada pemandu nya padahal ada 2 pemandu tpi malah gak terkondisikan dgn baik lihat lumba aja desakan jalur masuk untuk keluar dan masuk jalur keluar juga untuk keluar dan masuk udah ,kecewa banget acara piknik sekolahan gak pemandu nya 2 pemandu tpi gak terkondisikan dgn lihat lumba aja desakan jalur masuk masuk jalur masuk udah,"['kecewa', 'banget', 'acara', 'piknik', 'sekolahan', 'gak', 'pemandu', 'nya', '2', 'pemandu', 'tpi', 'gak', 'terkondisikan', 'dgn', 'lihat', 'lumba', 'aja', 'desakan', 'jalur', 'masuk', 'masuk', 'jalur', 'masuk', 'udah']",kecewa banget acara piknik sekolah gak pandu nya 2 pandu tpi gak kondisi dgn lihat lumba aja desa jalur masuk masuk jalur masuk udah,negatif
5,Mantap,mantap,mantap,['mantap'],mantap,positif
4,"Kelebihan : Cukup mudah dijangkau dr jalan raya

Kekurangan : harga makanan di food center tergolong mahal untuk ukuran wisata, …",kelebihan  cukup mudah dijangkau dr jalan rayakekurangan  harga makanan di food center tergolong mahal untuk ukuran wisata ,kelebihan mudah dijangkau dr jalan rayakekurangan harga makanan food center tergolong mahal ukuran wisata,"['kelebihan', 'mudah', 'dijangkau', 'dr', 'jalan', 'rayakekurangan', 'harga', 'makanan', 'food', 'center', 'tergolong', 'mahal', 'ukuran', 'wisata']",lebih mudah jangkau dr jalan rayakekurangan harga makan food center golong mahal ukur wisata,positif
5,"Bagus..
Pertunjukan bagus, tarian api",baguspertunjukan bagus tarian api,baguspertunjukan bagus tarian api,"['baguspertunjukan', 'bagus', 'tarian', 'api']",baguspertunjukan bagus tari api,positif
1,Asalamualaikum. Mhn mf mau tanya. Google bisnis ku. Mengalami masalah verifikasi udah beberapa kli udah ak lakuin ttp gagal. Tolong bantuan ya pak / ibu,asalamualaikum mhn mf mau tanya google bisnis ku mengalami masalah verifikasi udah beberapa kli udah ak lakuin ttp gagal tolong bantuan ya pak  ibu,asalamualaikum mhn mf google bisnis ku mengalami verifikasi udah kli udah ak lakuin ttp gagal tolong bantuan ya,"['asalamualaikum', 'mhn', 'mf', 'google', 'bisnis', 'ku', 'mengalami', 'verifikasi', 'udah', 'kli', 'udah', 'ak', 'lakuin', 'ttp', 'gagal', 'tolong', 'bantuan', 'ya']",asalamualaikum mhn mf google bisnis ku alami verifikasi udah kli udah ak lakuin ttp gagal tolong bantu ya,negatif
5,Cukup bagus,cukup bagus,bagus,['bagus'],bagus,positif
5,"Bagus sekali pertunjukan lumba lumba nya, ada pantai nya juga di dalam, cocok untuk liburan bersama keluarga.",bagus sekali pertunjukan lumba lumba nya ada pantai nya juga di dalam cocok untuk liburan bersama keluarga,bagus pertunjukan lumba lumba nya pantai nya cocok liburan keluarga,"['bagus', 'pertunjukan', 'lumba', 'lumba', 'nya', 'pantai', 'nya', 'cocok', 'liburan', 'keluarga']",bagus tunjuk lumba lumba nya pantai nya cocok libur keluarga,positif
1,"MAHALL!!!!!
Enggak worthit dengan harganya
Coba pengembang tengok lah cara kelola wisata tempat lain macam …",mahallenggak worthit dengan harganyacoba pengembang tengok lah cara kelola wisata tempat lain macam ,mahallenggak worthit harganyacoba pengembang tengok kelola wisata,"['mahallenggak', 'worthit', 'harganyacoba', 'pengembang', 'tengok', 'kelola', 'wisata']",mahallenggak worthit harganyacoba kembang tengok kelola wisata,negatif
4,Wahana Dolphin lg renov sampe Juni. Tarif murah utk ukuran grup Taman Safari. Staf ramah. …,wahana dolphin lg renov sampe juni tarif murah utk ukuran grup taman safari staf ramah ,wahana dolphin lg renov sampe juni tarif murah utk ukuran grup taman safari staf ramah,"['wahana', 'dolphin', 'lg', 'renov', 'sampe', 'juni', 'tarif', 'murah', 'utk', 'ukuran', 'grup', 'taman', 'safari', 'staf', 'ramah']",wahana dolphin lg renov sampe juni tarif murah utk ukur grup taman safari staf ramah,positif
