Name,content,score
Annisa Shofiana,"beberapa hari lalu saya dirawat di ruang matahari karena DBD, alhamdulillah sekarang sudah sembuh dan pada waktu opname saya mendapatkan perawatan yang baik dari petugas, fasilitas yang diberikan juga sangat baik. Terima kasih",5
Catur Rahayu Sunu Pratiwi,Petugas dan pelayananya sangat memuaskan,5
Rezamas Irfandi,"Keluarga saya pernah di rawat di ruang mawar Alhamdulillah mendapatkan perawatan yang baik dari perawat dan petugas lain, selain itu fasilitas yang diberikan juga sangat baik. Semoga selalu dipertahankan agar semakin lebih baik lagi 👍 …",5
Selfiana,Perawatnya ramah😍 …,5
Ika Oktaviana,"Pelayanannya baik, ruangannya juga banyak, perawatnya dan dokternya juga kalau ditanya ramah, penangannya pun sudah baik.",5
Siti khotijah,Playanan bangsal anak bagus tapi kamarnya panas,5
Hesti Tugi Utami,Pelayanannya sangat baik😊 …,5
Dita Puspita,Pelayanananya sangat ramah,5
Cintiya Paranitaa,Terima kasih sudah melayani dengan baik,5
Sisil Aprilia,Terimakasih,5
Marsha Selina,terimakasih atas pelayanan kesehatan yang baik,5
Farisa Rahmawati,"Tempat nya bagus, bersih, rapi, dan nyaman. Pelayanan dokter, karyawan ditambah administrasi juga baik",5
Fatma Hilyassalman,Rsud Kajen pelayanan ramah,5
Hupron (Jo'ing),Pelayanan memuaskan,5
Dwi Oktaviani,Pelayanan yang diberikan bagus dan dan perawatnya juga ramah-ramah,5
novi beauty,"sdh beberpa kali kontrol di rsud kajen alhamdulillah mendapatkan pelayanan yang baik, fasilitas juga lengkap",5
Fauzan Murthadha,"Kualitas karyawan sangat baik dan pelayanananya sangat ramah,, keluarga saya di rawat di situ di perlakukan dengan baik sesui SOP yang berlaku,, terimakasih",5
Ulya Susanti,"Alur pelayanan sangat baik dan sat set. Staff, perawat, dan dokter juga sangat baik dan ramah. Fasilitas dan gedungnya bersih dan tertata rapi. Terima kasih.",5
suk suka,"Pelayanan informasi sangat baik.
Cepat tepat.",5
Rani Widi,"Pelayanan yang diberikan sangat memuaskan, orangnya ramah-ramah dan sangat responsif 🥰🫶 lingkungann rumah sakitnya juga bersihh banget 💜 …",5
Adam Afuwwu,"Pelayanan oke, bersih, tertata rapi. Mantaap rsud kajen",5
Dewanty Putri Susanto,"saya pernah melakukan pemeriksaan di poli gigi rsud kajen, dari pelayanan baik dokter, perawat dan administrasi sangat baik ramah dan cepat. Fasilitas juga sudah baik sekali, kedepannya semoga semakin lebih baik",5
Ifa Setiawan,"Dari kecil udah kluar masuk RS, dari jaman aku msih SD sampe sekarang punya anak 2. Pelayanan yg dikassih memuaskan, apalagi pas lahiran sc 1 dan 2, di ruang operasi di ajak ngobrol terus sama perawat beserta pak dokter arif, jadi sy ga tegang. Pokoknya emng pelayanan yg sy terima baik semua. Terimakasih",5
Dewi Haryanti,Ibu saya melakukan rawat jalan di poli dlm dan alhamdulilah untuk pelayanan yang diberikan sangat memuaskan,5
Dian,"Untuk pelayanan poli dan administrasi sangat baik dan cepat, terima kasih",5
Rana Afdianti,ibu saya pernah operasi dirumah sakit Kajen dan sempet dirawat diruang mawar beberapa hari Alhamdulillah sekarang dalam masa pemulihan suka banget sama pelayanannya yang cepat dan baik👍🏻👍🏻 …,5
Eko Prasetyo,"pernah ranap dapat gedung baru  di ruangan alamanda, pelayanan nya bagus ,ruangannya juga nyaman",5
Kus kesesi,Alhamdulilalh bapak saya pernah mrlakukan rawat inap diruang mawar dan untuk pelayanan juga fasilitas sangat memuaskan,5
lestari,"Pelayanan nya baik, dokternya ramah,  sabar dan telaten. rumah sakitnya bagus lengkap fasilitas nya.",5
Zuhfi Zuhfi,"Pelayanan RSUD Kajen bagus ramah"" fasilitas e juga bagus,pelayanane cepat",5
Hendi,"Alhamdulillah pelayanan bagus ,melayani dengan sopan, ramah dan sepenuh hati, tempatnya bersih dan nyaman. Pesan kedepannya tetap pertahankan pelayanan yang seperti ini",5
Zaqi Aryanto Aryanto,"Trimakasih,,,, kepada ruangan lantai 3,khusunya ruang alamanda, l, trimakasih atas pelayanan yg terbaik,",5
Wiwit Oktaviavn,"Pelayanan administrasi bagian untuk ps kontrol ke poli tidak baik, menertawakan sesuatu hal yg pasien itu sendiri belum tau, setidaknya dijelaskan tak perlu ditertawakan dengan senyum meremehkan pulaa. Padahal akreditasi RS dengan Predikat Baik Bagus tapi pelayanan Bagian Administrasinya Enggak.",1
Harkitnas Risky medytasari,No review text,1
Gae Ddong,"Kaget, terakhir kali periksa di poly, dr pendaftaran sampai dpt  obat makan waktu lama,pelayanannya jg kurang amah.Tapi  hari  ini 10 oktober 2024 saya datang untuk memeriksakan anak memakai bpjs, alhamdulillah.. Dari proses pendaftaran …",5
Indah Sari,Alhamdulillah pelayanannya baik,5
Arti Zulkarnain,"Alhamdulullah ibu saya mendapatkan perawatan yg baik diruang alamanda digedung baru RSUD kajen,,ruangannya nyaman,,semoga lebih ditingkatkan lagi untuk fasilitas dan pelayanannya agar menjadi yang terbaik.terimakasih 🙏🏻 …",5
nur kholiyawati,Pelayanan baik,5
Esti Hikmah,"Untuk pelayanannya bagus, petugasnya baik-baik, fasilitasnya juga bagus",5
arief skate,sudah baik dan semoga terus lebih baik,5
arif skthp,sudah baik dan semoga terus lebih baik,5
Ning Karningsih,"Pelayanan nya bagus, semoga sllu mempertahankan pelayanannya, makasih RSUD kajen",5
Abi Naya,"Pelayanan baik, ortigas ramas ramah, ruangan bagus",5
Nafis 123,"Untuk pelayanan yang diberikan sangat baik, fasilitas juga baik dan memuaskan 👍👍👍 …",5
ahmad suristyanto M,"Pelayanan prima, cepat",5
Lenah Pancawati,"Fasilitas bagus, pelayanan baik.",5
Budi Pranata,No review text,5
Azzahra Cute,"Pelayanan di bangsal anak baik
Tapi ruangan sangat panas, tolong lebih diperhatikan untuk kenyamanan pasien",5
Adib Khasani,"Daftar manual sama online sama saja, yg penting kenal sama petugasnya ya nntinya didahulukan",1
Una Channel,"Untuk hasil lab saya rasa terlalu lama, pelayanan bagus,",4
Zulfi perdana,Pelayanan RSUD Kajen baik cepat bersih.serta perawatan cepat tanggap dalam pelayanan,5
Mark Moraless saefi,Pelayanan ruang Flamboyan baik,5
Fitri Pkl,"Ruang Flamboyan pelayanan bagus tapi ruang sempit dan terasa panas,,mohon ditindaklanjuti",5
Fitri Handayani,Pelayanannya kurang memuaskan apalagi untuk ruang perawatan yg kurang sesuai dengan kelas BPJS yg seharusnya pasien dapatkan,3
Mahmudin Din,Pelayanan diruang anak bagus.. Hanya saja ruangan sangat panas dan sempit,5
148 Saniyatul Mahmubah,Untuk 👍👍 pelayanan di RSUD Kajen …,5
Catur Tutur,"Merasakan nyaman
Pelayanan sangat baik",5
Jamilah Milah,Terimakasih,5
Dian fitri Aprillia,Alhamdulilah RSUD Kajen penanganannya cepat ... susternya jg cepet merespon saat keadaan anak saya kambuh...dan sekarang alhamdulilah anak saya sudah BLH plng...trima kasih RSUD kajen,5
Nava Citra,Memuaskan untuk fasilitas dan pelayanan,5
Fifi Khasanah,Menurut saya sudah bagus baik itu tempat dan pelayanannya,5
Widya Rahayu,"Alhamdulillah anakku sakit bab darah dirawat disini bisa sembuhhh, terimakasij rsud kajennn pelayananya cukup memuaskaann . Apalagi dr arya adnan fadhilaahh dokternya sangat telaten dan sabarrr❤️❤️❤️❤️",5
Nur Rahman,No review text,5
Inayatul Lutfiyah,trimakasii RSUD KAJEN sudah merawat selama satu minggu,5
Ana Liaaa,"Sekarang bangunan nya juga bagus dan banyak, tempat parkir yang luas",4
Muslimah,"Sudah banyak rumah sakit dipekalongan yg udah pernah disinggahi...hanya rsud kajen yang paling memuaskan bagi saya pribadi, semuanya ok banget, semoga sukses dan berkembang dan mutu pelayanan tetap dipertahankan....barokallohu fiikum",5
Soebatul Saniyah,"Kakak saya dirawat diruangan kenanga,alhmdulilah perkembanganya baik,perawatnya yg mlayani juga ramah²,semoga RSUD kjen slalu amanah dan slalu diberkai allah",5
Dewi pujiastuti,Ibu saya di rawat di ruang kenanga dr nya ramah dan perawat baik dan murah senyum,5
neng muna,No review text,5
Kurniawan Prasetio,"Pas di ponek perawat&bidan galak2 sekali judes jutek,org sakit malah dibentak2,pas udh pindah kamar ,kamarnya ada tikus dan banyak nyamuk, yg jaga pasien yg takut tikus jerit2 akhirnya mengganggu kenyamanan,padahal ini kamar kelas 1 dan bayar full tidak pakai BPJS",1
oaakksksk hdhdhdhhdhd,pelayanan ramah tamah 🤩🤩🤩 …,5
LUHUR ADITYA AL BASIR,No review text,5
imam ahmad,Maaf sumau sudah baik .. cuman satu terlalu lama nunggu.. jadwal dokter tidak tepat waktu.... akhirnya antriii...lebih banyak dan sangat terlalu lama...,2
Laila Eka,Terima kasih untuk pelayanan yg memuaskan bagi kami para pasien,5
Tas Milah,Playana ramah tempatnya nyaman,5
Fajar Kusuma Dewi,No review text,5
Siti Chotiah,Terimakasih atas pelayanan yg di berikan kepada bapak kami sangat memuaskan,5
TIO KILL,Terimakasih rsud kajen,5
Akun Lazada,No review text,5
Siti Mutipah,Pelayanan terbaik.. Semoga semakin ditingkatkan lagi,5
Dewi Susanti,Prawatnya kurang ramah dan kurang komunikatif jutek2 sekali . Lain kali mohon diperbaiki lagi pelayanannya,2
Hary Azhar,"joss gandoss,, peLayanan optimaL,, tidak membeda²kan pasien,, kaLo gk ada BPJS diuruskan UHC cuma modaL KK & KTP serta tidak ribet..
semoga tambah maju dan fasiLitas & dokter spesiaLis ditambah..",5
Herman Kumis,"poli bedah terhusus, tidak ramah menangani pasien..sehingga membuat pasien tidak nyaman",1
Hen Jay,"Rumah sakit terburuk, penanganan pasien lama, jika ada keluarga yang sakit mending cari rumah sakit rawat inap lain y",1
puput phutri,Pelayanan buruk waktu saya keracunan gak lngsung ditangani malah ditolak dengan alasan pengobatan tidak memadai😂akhirnya saya ke rumah sakit junaidi langsung ditangani telat dikit aja nyawa saya udah gatau kata dokternya wkwkw ga lagi lagi ke RS kajen! …,1
tamsuri 2022,"pelayanaya luar biasa ruang kenanga, sangat bagus , terimakasih 🙏🙏🙏 …",5
irwin irwiyanti,Pelayanan lambat,3
Teny Syiva,"Terima kasih RSUD Kajen, atas pelayanan nya, petugase baik2",5
Luthfi Dwi Azhar,"Pelayanan baik,rumah sakit bersih terawat. Tapi untuk pintu keluar tolong dipisahkan antara roda 4 dan roda 2 supaya lebih teratur tidak berebutan antara roda 4 dan 2 mengingat volume roda 2 yang sangat banyak",5
0091_wildan Irtikham maulana,"Terimakasih untuk semua dokter dan semua jajarannya, atas pelayanannya yang sangat baik dan ramah, terimakasih untuk RSUD KAJEN",5
Sriyatun Pkl,Pelayanan memuaskan dan baik 👍 …,5
Nokk Larasati,No review text,5
Haura Nisa,"pelayanan buruk,anak saya udah demam trombosit trun udh mual muntah malah di kasi obat. di suruh pulang,terpaksa ke rumah skit lain,nga lagii ke rumah sakit kajen kapok!!!",1
Rendi Shohirul A,Pelayanan yang sangat baik👍👍👍 …,5
Adiba Shakila putri,"Terimakasih karena sudah di layanin dengan baik, dan ramah. Pelayanan sangat baik.",5
Ana Khafidhatun Nisa,No review text,5
Rieza Ariyani,No review text,5
Reza Aditama,"Pelayanan baik, perawat dan dokternya ramah”",5
Syam Majid,No review text,5
Riska,Jadwal dokter tidak jelas tertera jam berapa dan tunggu sangat amat lama. Ruang tunggu poli anak sempit sampai duduk dibawah. Tidak ada monitor atau pengeras suara antrian brpnya.,1
Hanna Safira,"RSUD kajen bagus, memiliki fasilitas yang lengkap, gedung poli rawat jalannya baru, pegawainya baik-2 dan ramah-2 , lingkungannya bersih dan sejuk",5
raudin novi,No review text,5
Jenal Jen,Pelayanan baik dan ramah,4
Widiyani Kusuma Dewi,"Pelayanan baik, ramah, dan lebih ditingkatkan lagi senyum sapa salamnya , semoga senantiasa bisa melayani masyarakat dengan baik",5
Shena Dinar,No review text,1
Aji Novianto,"Pelayanan ramah,",5
rochmat prapontjo,Alhamdulillah.. Pelayanan bagus semua khusus nya penggunaan layanan bpjs kelas 3 tdk merasa di beda bedakan.. trima kasih rsud kajen,5
Zainal Arifin,"pernah dpt pelayanan disitu pas ugd, cepat langsung ditanggapi, bintsng 5 deh buat rsud kajen",5
Ferdian Tri,"Pelayanannya baik dan cepat, sangat bagus👍 …",5
Sakinah Sakinah,Pelayanannya baik dan ramah.,5
Suroto,"Pernah operasi di rsud kjen dokternya baik telaten, ramah jg pelayanannya udah mulai ramah",5
Soleha Ah,Pelayanan sangat memuaskan,5
Ariest P,RSUD Kajen merupakan Rumah Sakit Pemerintah milik Pemerintah Kabupaten Pekalongan yang letaknya sangat strategis dekat dengan ibu kota Kabupaten. Pelayanannya sangat baik fasilitasnya lengkap di tunjang tenaga medis yang profesional ramah …,5
Tin Maliyana,"Pelayanan sudah bagus, ditingkatkan dan dipertahankan 👍🏻 …",5
Andi Muria,Puas sekali berobat di RSUD KAJEN dari satpam dan karyawannya ramah2. Tempat bersih dan sejuk karena banyak tanaman hijau....,5
Arifianto Refani,Bersih karyawan ramah parkir rapi,5
Ayrin Riyang,"Fasilitas baik, pelayanan sangat bagus dan pegawainya mayoritas ramah2....terus tingkatkan pelayanan biar semakin paripurna🏥 …",5
Dhea Kharisma putri,"Pelayanan sangat baik, ramah, santun dan informatif. Mulai dari IGD satpam sangat cekatan, dokter dan perawat tanggap, masuk ke ruang rawat inap, perawat dan dokter sangat informatif memberi informasi secara jelas, ramah dan santun. Petugas …",5
Kustiyowati Kustiyowati,RSUD pelayanannya baik dan memuaskan.,5
Reysa Reysa,saya puas pelayanan disini,5
Ibu Lilis,Pelayanannya bagus dan legkap,5
sheriff hell,Kualitas pelayanan sangat luar biasa. Pertama kali nya datang kesini petugas informasi sangat ramah dan informatif sehingga mempermudah saya mendapatkan informasi dan panduan untuk langkah periksa di rsud kajen,5
Tunhari Tunhari,"Terima kasih untuk pelayanannya, semoga semakin maju RSUD Kajen..",5
Ayayayayaya Wowowowow,Rumah sakit RSUD Kajen rumah sakit terbaik dikab. Pekalongan sukses selalu RSUD kajen,5
Zayanatul Mufrika,No review text,5
Artha Widya,RSUD Kajen the best pelayanannya cepat ramah,5
andhika putri,"Alhamdulillah RSUD Kajen makin bersih, pelayanannya sat set. Alternatif kalau sakit g perlu jauh2 cukup 10 menit dari rumah. Banyak ruang hijau terbuka jadi tdk bosan kalau nunggu antrean.",5
Mitha Maman,"Ruangannya bersih, pelayanan bagus, petugasnya ramah2 👍🏻 semoga selalu memuaskan 👍🏻 …",5
Avin Rusdiharto,"Pelayanan sudah semakin baik, semoga lebih maksimal lagi",4
gaming Wardi,Sipp perawatan nya cantik cantik dan tempat nya nyaman bagus pokok e,5
Siti Susyanti,No review text,5
Nawang Adipurnama,Pelayanan bagus. Perawat dan para staf ramah,5
Man NanoNano,Pelayanannya Bagus,5
Qurrotun Nufusina,"pelayanan sangat baik, memuasakan dan petugasnya sangat ramah2",5
Tuminah Gilang,Saya senang periksa di RSUD Kajen karena pelayanannya ramah dan tempatnya bersih,5
Awal tandyo,Pelayanannya ramah sekali,5
Aji Maulana,RSUD kjen mantap dokter dan tenaga yg lain kompeten,5
Arif Subagyo,"Karyawannya ramah ramah, baik hati dan kenyaman mantap",5
maria ulfa,"Tempatnya bagus rapi nyaman bersih, dokter perawat dan staff lainnya ramah ramah",4
Rus Manto,Pelayanan sudah semakin bagus,4
Kamal M,Mendapatkan pelayanan yg maksimal,4
Nafa,Tempat nya bersih. Pelayanan ramah.,5
Fitri Yani,Terimakasih rsud kajen pelayanan bagus ramah insani mudah2an semakin sukses....,5
Nurul Rizky Ulfiana,"Pelayanannyaa oke, tempatnyaa bersih. Perawat dan bidannya ramah.",5
Indah Silvialenata,Pelayanan bagus 👍 …,5
Agas Tyasa Dinata,"Rumah sakit bersih,nyaman,karyawan baik dan ramah semoga semakin sukses...jayaa",5
Junaedi SHL,"Alhamdulillah sekarang pelayanan di RSUD Kajen sudah sangat baik, poli nya sudah semakin lengkap jadi mudah kalo ingin priksa karna tempatnya strategis disamping jln  raya",5
Susilowati hega,"Petugasnya Ramah_Ramah,pelayanan Bagus👍 …",5
Sri Faeni,"MasyaAllah pelayanan sangat bagus perawat dokter karyawan sangat humble, gedung nya bagus bersih ada fisilitas kantin mushola dan atm. Sukses terus buat rsud kajen semoga kedepan lebih baik dan lebih profesional",5
Sri Murni Yati,RSUD Kajen selalu memberikan pelayanan yang terbaik dan pegawai nya juga selalu ramah dengan pasien.,5
Meiyani Lutfil Khoiriyah,RSUD Kajen selalu memberikan pelayanan yang terbaik dari berbagai jenis pelayanan. Fasilitas yang di sediakan juga sudah memadai. Terus tingkatkan ke arah yang baik.,5
Kaji camat Official,Lingkungannya bersih dan pelayanan yang ramah,5
Rohman Latif,"Pelayanan yang sangat memuaskan , ramah dan sopan pegawainya",5
Puutra Lucky,Pelayanan sangat baik poll,5
Ikhwan Lutfianto,Pelayanannya bagus.,5
Ihwan Ihwan,RSUD Kajen telah memberikan pelayanan yang terbaik dan maksimal untuk semua pasiennya.,5
Mitha taaa,Baik dalam pelayanan cekat cekot.,5
Tri hargoro Guruh,RSUD Kajen sudah memberikan pelayanan yang terbaik untuk semua pasiennya. Terus tingkatkan,5
Rakhmatika ayu assabila,"pelayanan alhamdullilah bagus, penjelasan mendetail ke igd langsung ditangani 😊 …",5
DEDI ANGGARA,Bersih nyaman pelayanan baik,5
ayu rahmanita,Pelayanannya sangat bagusa 👍👍 …,5
Ferdika Nuryana,Rumah sakit dan fasilitas yang memadai serta penanganan dokter yang memadai.,5
Alvi Risqiana,Pelayanan Baik.,5
Eka Putri,Pelayanan nya bagus banget... Bidan dan petugas yang lain nya ramah2 pokok nya top banget dech,5
Amilatur Rizki,bagus,5
Nur hidayatun Nisa,"pelayanannya sangat memuaskan, perawatnya ramah²",5
Burhan Toro,Rumah sakit dan fasilitas yang memadai serta penanganan dokter yg sangat baik.,5
Avilla Wahyu,Pelayanan cepat dan lengkap 👍🏻 …,5
Aulia Firodatul J,"Pelayanan dan prasarananya sudah cukup baik, semoga bisa dipertahankan dan dikembangkan lagi.",5
Uci Haryati,"Pelayanan ramah.pelayanan cepat
Gedung baru bagus dan rapih.
Mudah2han tetap mempertahankan pelayananya yg bagus.",5
Suwiryo Wiryo,Pelayanan ramah,5
Mustofa,"Pelayanan cepat.gedung bagus.bersih.suasana asri.
Pegawai ramah.",5
Anggun setiawan,"Saya kagum dengan tempatnya yg bnyak kemajuan, udah ada gedung baru jg membuat plyanannyanya lbh cpt dan mudah",4
Indri Yati,Gedung nya bersih dan bagus.. petugasnya ramah ramah semua 👍 …,5
Kurnia Supriadi,"Pelayanan ramah, salah satu RS terbaik di kab. Pekalongan",5
Eka Lusiana dewi,"Pelayanan cepat.pegawai ramah ramah.
Suasana asri dan bersih.",5
Gone Tyta,"Rsud kajen ruangan bersih, fasilitas lengkap, tenaga kesahatan ramah dan sangat baik2",5
Pak Karjo,Pelayanan nya sangat ramah petugasnya.. gedung nya bersih dan bagus,5
Supar No,"Suasana santai, sambutan hangat, tidak ada kesan Rumah Sakit yang kesannya seram 😊 …",5
Soleh Alfatih,cepat dan baik dalam pelayanan,5
Novie Vitria7,Tempatnya bersih pelayanannya bagus ramah,5
Naura Naura,No review text,5
Dyah Irawati,"Pelayanan sangat bagus,ramah nyaman dan tempatnya bersih.",5
Daffa Saputra,"pelayanan bagus dan baik, pegawai ramah, lingkungannya bersih",5
Risca Astriyanah,"Rumah sakit yang cukup memberikan pelayanan yang baik, bangunan baru dan memiliki tata ruangan yang bagus, dari team medis dokter perawatan atau pun petugas medis lainnya sangat ramah. Tempat bersih dan memiliki halaman parkir yang cukup luas. Semoga RSUD kajen bisa terus memberikan pelayanan dan semakin berkembang dengan baik.",5
Dhita Nabila,aku berobat di rsud kajen pelayanannya bagus rs nya juga bersih dan letakknya juga strategis,5
Dex Nabila,Pelayanannya sangat baik.. Staf dan dokternya pun ramah tmptnya bagus dan bersih..,5
Lutfiah Febriana,"Pelayanan RSUD Kajen sangat baik, tidak berbelit tempatnya juga bersih dan rapi jadi pasien nyaman",5
Isti Istianti,"Pelayanannya sangat baik karyawannya ramah - ramah dan sopan, tempatnya bagus, bersih dan rapi 😍😍 …",5
Anak Mbarep,"pelayanan yang memuaskan,tidak salah pilih RS,terima kasih RSUD kajen semoga semakin maju...",5
windanarko may ha'qi,"Pelayanan baik, bangunan baru, ruang cukup tertata, dan team perawat serta dokter jaganya ramah. Terus tingkatkan lagi agar lebih baik dari yang terbaik",5
Re Woxx,Bagus pelayananya,5
Furichah Soewardi,Rsudnya lengkap pelayanannya baik👏 …,5
Anin Shiva,pelayanan yang baik bgt tempatnyanbersih bgt 🥰 …,5
febby,pelayanan memuaskan,5
Sania Keby,bestt bangett,5
Tommy Phili,Pelayanan cepat dan akurat dalam menangani pasien IGD ..terus dipertahankan ya,5
Zahra Aningrum,Mantap pelayanannya👍 …,5
siti waryani,"Pelayanannya oke dan cepat, pegawainya jg ramah ramah. TOP pokoknya 👍 …",5
Gempita Sekar,"pelayanan poli  baik, semoga rsud kajen bisa selalu berbenah meningkatkan kualitas pelayanan lagi",5
Ayu Latifa,"Alhamdulillah pengalaman mengantar ortu kontrol rutin di rsud kajen pelayananya baik, pendaftaran bisa lgsg booking di aplikasi jkn & antrian obat juga ada pilihan bisa lgsg diantar ke rmh jadi tdk perlu nunggu lama di rs ,, terimakasih semoga kedepannya bisa lebih baik lagi 🙏 …",5
SUSANTO mirza,"Pelayanannya ramah,pegawainya sopan RS nya bersih top bgt pokoknya👍👍 …",5
loeien store,Alhamdulillah pelayanannya bagus dan tidak kecewa.trimksh rsud kajen,5
Herwan Badawi,pelayanan nya baik  sangat membatu mudah,5
Dwika Ayun,"Pelayanan nya bagus, perawat dan dokternya ramah ramah... maju terus buat rsud kajen...",5
fitri_ cheymo,Pelayanan memuaskan 😊😊 …,5
Nala aspiriani,"Pelayanan di RSUD kajen bintang lima bangettt, Masya Allah⭐️⭐️⭐️⭐️⭐️",5
Pariyono Yono,Tempatnya bersih dan pelayananya baik sekali. Lanjutkan👍 …,5
Tita Hapsari,"pelayanannya baik, pegawainya ramah-ramah dan sangat membantu. nice🫶🏻🫶🏻🫶🏻 …",5
Wulan Dari,"Terimakasih RSUD kajen
Pengalaman saya pernah melahirkan SC diRSUD Kajen pelayanannya sangat memuaskan dokter dan bidannya sangat  komunikatif dan ramah2.",5
Ganatri Erinawati,Pelayanan rsud kajen memuaskan perawat dan stafnya ramah,5
Shafira Anjelia,Pelayanan cepat tanggap dan ramah,4
Zafien Widianto,"Pelayanannya sangat ramah, dan kecepatan pelayanan jg memuaskan. Sukses terus 👍👍 …",5
Putri Pradika,"Pelayanan bagus, nakes nya ramah",5
ida kajen,Pelayanan ramah dan cepat,5
martian ningsih,"Pegawai ramah,
Pelayanan memuaskan",5
siti harini,"Pelayanan baik, tempat nyaman kebersihan bagus senang bisa menjadi bagian di rsud",5
Khamidah Mahfudhoh,"Semakin kesini semakin baik pelayanannya, terimakasih atas pelayanannya yg sangat baik",5
Queen Jasmine,"Tempatnya bagus,nyaman,rapi,bersih.
Staff karyawan ramah
Pelayanannya baik.",5
Dian Oktavianti,"Pelayanan ramah, cepat dan hasil pemeriksaan dapat dipertanggungjawabkan",5
Friska Fahira,Pelayanannya maksimal dan bagus,5
Kartika Tika,Pelayanannya bagus dan pegawainya ramah - ramah,5
Eva Fadil,Pegawainya sangat ramah dan pelayanannya memuaskan,5
Liya Uliyatul,mantap pelayanan bagus lingkungan bersih,5
Bambang Wiwit,RSUD Kajen rumah sakit yang asri semua petugas baik dan ramah... Sukses selalu RSUD Kajen jaya jaya jaya...,5
OKTA ARI PRAMUTIARANTO,"Rumah sakit ,nyaman, bersih, karyawan ramah2, semoga semakin jaya.. sukses..",5
relly marindra,"RSUD kajen yang memberikan pelayanan terbaik dan maksimal
semoga RSUD kajen tambah jaya & sukses",5
Didik Mujiarto,"Pelayananya sangat cepat, petugasnya juga ramah ramah, gedungnya bagus dan bersih.",5
M. Arif Nasrullah,Sukses terus dan semoga berkembang pesat ✨,5
Wahyu Dp,Pelayanan terbaik,5
Winandia Dwi Rahmayani Putri,pelayanan sangat bagus,5
Hidayati Rizqina,Pelayanan dan bidannya ramah dan tanggapan. Rsud terbaik di pekalongan👍👍👍 …,5
abianwar junior,Rsud kajen luar biasa.. pelayanan paripurna..👏 …,5
Lishani Zulfayonera,Rsud kajen rumah sakit rujukan pelayanan yang ramah dan tenaga kesehatan yang profesional,5
omendul,"Pelayanannya bagus sat set, pegawainya ramah",5
Wahyu Kartikasari,No review text,5
Putri Nurvasti,"pelayanan sangat baik, fasilitas baik, pegawainya ramah",5
yulianti cahyaningtias,"pelayanan bagus, pegawainya ramah, melayani dengan sepenuh hati",5
Indah Fitriyeni,Pelayanan nya memuaskan.ramah pegawainya.alhamdulillah tidak kecewa,5
Iis Sholekha,"Pelayanan memuaskan, pegawai ramah👍🏻 …",5
Yuni Sulistyo,No review text,5
falaq annas,Bagus & baik,5
Fitrisulis Tiawati,Pelayanannya bagus dan memuaskan pegawainya ramah.,5
diah ari,Pelayanan ramah.. Cepat.. Polinya lengkap,5
Yuli Awan,Pelayanan bagus,5
desi hana,No review text,5
Delima Noviyanti,Rsud kajen pelayanan nya bagus oke,5
Erina Nur Sofiyah,"Rumah sakit bersih, pelayanan bagus , staf dan karyawan sangat ramah",5
Ramadhan Hidayat,"pelayanan sangat baik , perawat dan dokter semuanya ramah",5
Saya Muryanti,"Pelayanan baik,dokter,perawat dan staff baik.
Tempat bagus",5
Dje Jeffri,No review text,4
Arum Arum,terimakasih  atas sirawat si rs alhamdulillah,5
aida fitri alfasana,Terimakasih atas pelayanan yang terbaik dari rumah sakit 😊 …,5
Mirza Nur Linda,Pelayanan yang diberikan sangat baik dan untuk tempat juga bersih ..,5
Eko Bc,Terima kasih buat semua petugas yang telah membantu dengan ramah,5
Asilatul Arifa,Terima kasih,5
Telkom Telkom,"Pelayanan buruk
Tidak efisien tidak cepat tanggap
Pasien di layani dengan buruk
Tidak sopan meremehkan pasien",1
Hanif Setiadi,"Mohon maaf izin bertanya, untuk RSUD Kajen apakah ada spesialis urologi?",5
Faela A,"Pelayanan di ranap anak kurang baik, fasilitas kurang memadai, ruangan terlalu sempit untuk 5 bed tanpa pendingin ruangan, ada kipas angin tapi tidak berfungsi serta tidak ada sekat antar pasien sehingga tidak ada privasi. …",2
Dul Mulyo,Terimaksih...pelayann memuaskn...fasilitas bagus... Alamanda,5
Nury Septyo,RS nya bersih,5
Nova Farianti,No review text,5
muhammad Restu,No review text,5
Firlan Pamungkas,"Tukang parkirnya suka nambahin tarif parkir. Baru masuk satu jam, untuk tarif parkir motor harusnya 2000, tapi di tarik 3000. Mohon ditindak untuk petugas yang seperti ini.",1
ikahh libra,"Hari Selasa tanggal 9 Juli 2024 pukul 23.30an malam, mau tanya tentang ketersedian kamar di bagian UGD tetapi petugas yg berjaga (3 laki-laki) tidak melayani dengan ramah, atau coba tanya untuk kelas perawatan berapa dulu atau bagaimana, …",1
Putri Kencana,"Pelayanan baik, ruangan sesuai dengan kemampuan pastinya, kapasitas banyak, hanya saja untuk penyakit tertentu belum ada penanganan khusus di sini sperti spesialis ginjal / kanker. …",5
Yogi Widjaksono,"Ruang tunggu poli anak sangat minim perlu diperbaiki, sesak penuh, apalagi dicampur ama poli bedah yg mayoritas lansia, ruang laktasi juga jauh harus ke poli kandungan harusnya disediakan juga ruang laktasi didekat poli anak.",2
Dasem Dasem,Terimakasih atas perawatan di alamanda..,5
Pio Opuk123,Pelayanan baik,5
Novi Triningsih,Terimakasih atas pelayaanan di rsud kajen ruang alamnda,5
