content,text_tokens_stemmed,Label,Label NB
"Pelayanannya baik dan cepat, sangat bagus👍 …",layan cepat bagus,positif,positif
Pelayanannya baik dan ramah.,layan ramah,positif,positif
"Pernah operasi di rsud kjen dokternya baik telaten, ramah jg pelayanannya udah mulai ramah",operasi rsud kjen dokter telaten ramah jg layan udah ramah,positif,positif
Pelayanan sangat memuaskan,layan muas,positif,positif
RSUD Kajen merupakan Rumah Sakit Pemerintah milik Pemerintah Kabupaten Pekalongan yang letaknya sangat strategis dekat dengan ibu kota Kabupaten. Pelayanannya sangat baik fasilitasnya lengkap di tunjang tenaga medis yang profesional ramah …,rsud kajen rumah sakit perintah milik perintah kabupaten kalong letak strategis kota kabupaten layan fasilitas lengkap tunjang tenaga medis profesional ramah,positif,positif
"Pelayanan sudah bagus, ditingkatkan dan dipertahankan 👍🏻 …",layan bagus tingkat tahan,positif,positif
Puas sekali berobat di RSUD KAJEN dari satpam dan karyawannya ramah2. Tempat bersih dan sejuk karena banyak tanaman hijau....,puas obat rsud kajen satpam karyawannya ramah2 bersih sejuk tanam hijau,positif,positif
Bersih karyawan ramah parkir rapi,bersih karyawan ramah parkir rapi,positif,positif
"Fasilitas baik, pelayanan sangat bagus dan pegawainya mayoritas ramah2....terus tingkatkan pelayanan biar semakin paripurna🏥 …",fasilitas layan bagus pegawai mayoritas ramah2terus tingkat layan biar paripurna,positif,positif
"Pelayanan sangat baik, ramah, santun dan informatif. Mulai dari IGD satpam sangat cekatan, dokter dan perawat tanggap, masuk ke ruang rawat inap, perawat dan dokter sangat informatif memberi informasi secara jelas, ramah dan santun. Petugas …",layan ramah santun informatif igd satpam cekat dokter awat tanggap masuk ruang rawat inap awat dokter informatif informasi ramah santun tugas,positif,positif
RSUD pelayanannya baik dan memuaskan.,rsud layan muas,positif,positif
saya puas pelayanan disini,puas layan,positif,positif
Pelayanannya bagus dan legkap,layan bagus legkap,positif,positif
Kualitas pelayanan sangat luar biasa. Pertama kali nya datang kesini petugas informasi sangat ramah dan informatif sehingga mempermudah saya mendapatkan informasi dan panduan untuk langkah periksa di rsud kajen,kualitas layan kali nya kesini tugas informasi ramah informatif mudah informasi pandu langkah periksa rsud kajen,positif,positif
"Terima kasih untuk pelayanannya, semoga semakin maju RSUD Kajen..",terima kasih layan moga maju rsud kajen,positif,positif
Rumah sakit RSUD Kajen rumah sakit terbaik dikab. Pekalongan sukses selalu RSUD kajen,rumah sakit rsud kajen rumah sakit baik dikab kalong sukses rsud kajen,positif,positif
No review text,no review text,positif,positif
RSUD Kajen the best pelayanannya cepat ramah,rsud kajen the best layan cepat ramah,positif,positif
"Alhamdulillah RSUD Kajen makin bersih, pelayanannya sat set. Alternatif kalau sakit g perlu jauh2 cukup 10 menit dari rumah. Banyak ruang hijau terbuka jadi tdk bosan kalau nunggu antrean.",alhamdulillah rsud kajen bersih layan sat set alternatif sakit g jauh2 10 menit rumah ruang hijau buka tdk bosan nunggu antre,positif,positif
"Ruangannya bersih, pelayanan bagus, petugasnya ramah2 👍🏻 semoga selalu memuaskan 👍🏻 …",ruang bersih layan bagus tugas ramah2 moga muas,positif,positif
"Pelayanan sudah semakin baik, semoga lebih maksimal lagi",layan moga maksimal,positif,positif
Sipp perawatan nya cantik cantik dan tempat nya nyaman bagus pokok e,sipp awat nya cantik cantik nya nyaman bagus pokok e,positif,positif
No review text,no review text,positif,positif
Pelayanan bagus. Perawat dan para staf ramah,layan bagus awat staf ramah,positif,positif
Pelayanannya Bagus,layan bagus,positif,positif
"pelayanan sangat baik, memuasakan dan petugasnya sangat ramah2",layan puasa tugas ramah2,positif,positif
Saya senang periksa di RSUD Kajen karena pelayanannya ramah dan tempatnya bersih,senang periksa rsud kajen layan ramah tempat bersih,positif,positif
Pelayanannya ramah sekali,layan ramah,positif,positif
RSUD kjen mantap dokter dan tenaga yg lain kompeten,rsud kjen mantap dokter tenaga yg kompeten,positif,positif
"Karyawannya ramah ramah, baik hati dan kenyaman mantap",karyawannya ramah ramah hati kenyam mantap,positif,positif
"Tempatnya bagus rapi nyaman bersih, dokter perawat dan staff lainnya ramah ramah",tempat bagus rapi nyaman bersih dokter awat staff ramah ramah,positif,positif
Pelayanan sudah semakin bagus,layan bagus,positif,positif
Mendapatkan pelayanan yg maksimal,layan yg maksimal,positif,positif
Tempat nya bersih. Pelayanan ramah.,nya bersih layan ramah,positif,positif
Terimakasih rsud kajen pelayanan bagus ramah insani mudah2an semakin sukses....,terimakasih rsud kajen layan bagus ramah insani mudah2an sukses,positif,positif
"Pelayanannyaa oke, tempatnyaa bersih. Perawat dan bidannya ramah.",pelayanannyaa oke tempatnyaa bersih awat bidan ramah,positif,positif
Pelayanan bagus 👍 …,layan bagus,positif,positif
"Rumah sakit bersih,nyaman,karyawan baik dan ramah semoga semakin sukses...jayaa",rumah sakit bersihnyamankaryawan ramah moga suksesjayaa,positif,positif
"Alhamdulillah sekarang pelayanan di RSUD Kajen sudah sangat baik, poli nya sudah semakin lengkap jadi mudah kalo ingin priksa karna tempatnya strategis disamping jln  raya",alhamdulillah layan rsud kajen pol nya lengkap mudah kalo priksa karna tempat strategis samping jln raya,positif,positif
"Petugasnya Ramah_Ramah,pelayanan Bagus👍 …",tugas ramahramahpelayanan bagus,positif,positif
"MasyaAllah pelayanan sangat bagus perawat dokter karyawan sangat humble, gedung nya bagus bersih ada fisilitas kantin mushola dan atm. Sukses terus buat rsud kajen semoga kedepan lebih baik dan lebih profesional",masyaallah layan bagus awat dokter karyawan humble gedung nya bagus bersih fisilitas kantin mushola atm sukses rsud kajen moga depan profesional,positif,positif
RSUD Kajen selalu memberikan pelayanan yang terbaik dan pegawai nya juga selalu ramah dengan pasien.,rsud kajen layan baik pegawai nya ramah pasien,positif,positif
RSUD Kajen selalu memberikan pelayanan yang terbaik dari berbagai jenis pelayanan. Fasilitas yang di sediakan juga sudah memadai. Terus tingkatkan ke arah yang baik.,rsud kajen layan baik jenis layan fasilitas sedia pada tingkat arah,positif,positif
Lingkungannya bersih dan pelayanan yang ramah,lingkung bersih layan ramah,positif,positif
"Pelayanan yang sangat memuaskan , ramah dan sopan pegawainya",layan muas ramah sopan pegawai,positif,positif
Pelayanan sangat baik poll,layan poll,positif,positif
Pelayanannya bagus.,layan bagus,positif,positif
RSUD Kajen telah memberikan pelayanan yang terbaik dan maksimal untuk semua pasiennya.,rsud kajen layan baik maksimal pasien,positif,positif
Baik dalam pelayanan cekat cekot.,layan cekat cekot,positif,positif
RSUD Kajen sudah memberikan pelayanan yang terbaik untuk semua pasiennya. Terus tingkatkan,rsud kajen layan baik pasien tingkat,positif,positif
"pelayanan alhamdullilah bagus, penjelasan mendetail ke igd langsung ditangani 😊 …",layan alhamdullilah bagus jelas detail igd langsung tangan,positif,positif
Bersih nyaman pelayanan baik,bersih nyaman layan,positif,positif
Pelayanannya sangat bagusa 👍👍 …,layan bagusa,positif,positif
Rumah sakit dan fasilitas yang memadai serta penanganan dokter yang memadai.,rumah sakit fasilitas pada tangan dokter pada,positif,positif
Pelayanan Baik.,layan,positif,positif
Pelayanan nya bagus banget... Bidan dan petugas yang lain nya ramah2 pokok nya top banget dech,layan nya bagus banget bidan tugas nya ramah2 pokok nya top banget dech,positif,positif
bagus,bagus,positif,positif
"pelayanannya sangat memuaskan, perawatnya ramah²",layan muas awat ramah,positif,positif
Rumah sakit dan fasilitas yang memadai serta penanganan dokter yg sangat baik.,rumah sakit fasilitas pada tangan dokter yg,positif,positif
Pelayanan cepat dan lengkap 👍🏻 …,layan cepat lengkap,positif,positif
"Pelayanan dan prasarananya sudah cukup baik, semoga bisa dipertahankan dan dikembangkan lagi.",layan prasarana moga tahan kembang,positif,positif
"Pelayanan ramah.pelayanan cepat
Gedung baru bagus dan rapih.
Mudah2han tetap mempertahankan pelayananya yg bagus.",layan ramahpelayanan cepatgedung bagus rapihmudah2han tahan pelayananya yg bagus,positif,positif
Pelayanan ramah,layan ramah,positif,positif
"Pelayanan cepat.gedung bagus.bersih.suasana asri.
Pegawai ramah.",layan cepatgedung bagusbersihsuasana asripegawai ramah,positif,positif
"Saya kagum dengan tempatnya yg bnyak kemajuan, udah ada gedung baru jg membuat plyanannyanya lbh cpt dan mudah",kagum tempat yg bnyak maju udah gedung jg plyanannyanya lbh cpt mudah,positif,positif
Gedung nya bersih dan bagus.. petugasnya ramah ramah semua 👍 …,gedung nya bersih bagus tugas ramah ramah,positif,positif
"Pelayanan ramah, salah satu RS terbaik di kab. Pekalongan",layan ramah salah rs baik kab kalong,positif,positif
"Pelayanan cepat.pegawai ramah ramah.
Suasana asri dan bersih.",layan cepatpegawai ramah ramahsuasana asri bersih,positif,positif
"Rsud kajen ruangan bersih, fasilitas lengkap, tenaga kesahatan ramah dan sangat baik2",rsud kajen ruang bersih fasilitas lengkap tenaga kesahatan ramah baik2,positif,positif
Pelayanan nya sangat ramah petugasnya.. gedung nya bersih dan bagus,layan nya ramah tugas gedung nya bersih bagus,positif,positif
"Suasana santai, sambutan hangat, tidak ada kesan Rumah Sakit yang kesannya seram 😊 …",suasana santai sambut hangat kesan rumah sakit kesan seram,positif,positif
cepat dan baik dalam pelayanan,cepat layan,positif,positif
Tempatnya bersih pelayanannya bagus ramah,tempat bersih layan bagus ramah,positif,positif
No review text,no review text,positif,positif
"Pelayanan sangat bagus,ramah nyaman dan tempatnya bersih.",layan bagusramah nyaman tempat bersih,positif,positif
"pelayanan bagus dan baik, pegawai ramah, lingkungannya bersih",layan bagus pegawai ramah lingkung bersih,positif,positif
"Rumah sakit yang cukup memberikan pelayanan yang baik, bangunan baru dan memiliki tata ruangan yang bagus, dari team medis dokter perawatan atau pun petugas medis lainnya sangat ramah. Tempat bersih dan memiliki halaman parkir yang cukup luas. Semoga RSUD kajen bisa terus memberikan pelayanan dan semakin berkembang dengan baik.",rumah sakit layan bangun milik tata ruang bagus team medis dokter awat tugas medis ramah bersih milik halaman parkir luas moga rsud kajen layan kembang,positif,positif
aku berobat di rsud kajen pelayanannya bagus rs nya juga bersih dan letakknya juga strategis,obat rsud kajen layan bagus rs nya bersih letakknya strategis,positif,positif
Pelayanannya sangat baik.. Staf dan dokternya pun ramah tmptnya bagus dan bersih..,layan staf dokter ramah tmptnya bagus bersih,positif,positif
"Pelayanan RSUD Kajen sangat baik, tidak berbelit tempatnya juga bersih dan rapi jadi pasien nyaman",layan rsud kajen belit tempat bersih rapi pasien nyaman,positif,positif
"Pelayanannya sangat baik karyawannya ramah - ramah dan sopan, tempatnya bagus, bersih dan rapi 😍😍 …",layan karyawannya ramah ramah sopan tempat bagus bersih rapi,positif,positif
"pelayanan yang memuaskan,tidak salah pilih RS,terima kasih RSUD kajen semoga semakin maju...",layan memuaskantidak salah pilih rsterima kasih rsud kajen moga maju,positif,positif
"Pelayanan baik, bangunan baru, ruang cukup tertata, dan team perawat serta dokter jaganya ramah. Terus tingkatkan lagi agar lebih baik dari yang terbaik",layan bangun ruang tata team awat dokter jaga ramah tingkat baik,positif,positif
Bagus pelayananya,bagus pelayananya,positif,positif
Rsudnya lengkap pelayanannya baik👏 …,rsudnya lengkap layan,positif,positif
pelayanan yang baik bgt tempatnyanbersih bgt 🥰 …,layan bgt tempatnyanbersih bgt,positif,positif
pelayanan memuaskan,layan muas,positif,positif
bestt bangett,bestt bangett,positif,positif
Pelayanan cepat dan akurat dalam menangani pasien IGD ..terus dipertahankan ya,layan cepat akurat tangan pasien igd tahan ya,positif,positif
Mantap pelayanannya👍 …,mantap layan,positif,positif
"Pelayanannya oke dan cepat, pegawainya jg ramah ramah. TOP pokoknya 👍 …",layan oke cepat pegawai jg ramah ramah top pokok,positif,positif
"pelayanan poli  baik, semoga rsud kajen bisa selalu berbenah meningkatkan kualitas pelayanan lagi",layan pol moga rsud kajen benah tingkat kualitas layan,positif,positif
"Alhamdulillah pengalaman mengantar ortu kontrol rutin di rsud kajen pelayananya baik, pendaftaran bisa lgsg booking di aplikasi jkn & antrian obat juga ada pilihan bisa lgsg diantar ke rmh jadi tdk perlu nunggu lama di rs ,, terimakasih semoga kedepannya bisa lebih baik lagi 🙏 …",alhamdulillah alam antar ortu kontrol rutin rsud kajen pelayananya daftar lgsg booking aplikasi jkn antri obat pilih lgsg antar rmh tdk nunggu rs terimakasih moga depan,positif,positif
"Pelayanannya ramah,pegawainya sopan RS nya bersih top bgt pokoknya👍👍 …",layan ramahpegawainya sopan rs nya bersih top bgt pokok,positif,positif
Alhamdulillah pelayanannya bagus dan tidak kecewa.trimksh rsud kajen,alhamdulillah layan bagus kecewatrimksh rsud kajen,positif,positif
pelayanan nya baik  sangat membatu mudah,layan nya batu mudah,positif,positif
"Pelayanan nya bagus, perawat dan dokternya ramah ramah... maju terus buat rsud kajen...",layan nya bagus awat dokter ramah ramah maju rsud kajen,positif,positif
Pelayanan memuaskan 😊😊 …,layan muas,positif,positif
"Pelayanan di RSUD kajen bintang lima bangettt, Masya Allah⭐️⭐️⭐️⭐️⭐️",layan rsud kajen bintang bangettt masya allah,positif,positif
Tempatnya bersih dan pelayananya baik sekali. Lanjutkan👍 …,tempat bersih pelayananya lanjut,positif,positif
"pelayanannya baik, pegawainya ramah-ramah dan sangat membantu. nice🫶🏻🫶🏻🫶🏻 …",layan pegawai ramahramah bantu nice,positif,positif
"Terimakasih RSUD kajen
Pengalaman saya pernah melahirkan SC diRSUD Kajen pelayanannya sangat memuaskan dokter dan bidannya sangat  komunikatif dan ramah2.",terimakasih rsud kajenpengalaman lahir sc dirsud kajen layan muas dokter bidan komunikatif ramah2,positif,positif
Pelayanan rsud kajen memuaskan perawat dan stafnya ramah,layan rsud kajen muas awat staf ramah,positif,positif
Pelayanan cepat tanggap dan ramah,layan cepat tanggap ramah,positif,positif
"Pelayanannya sangat ramah, dan kecepatan pelayanan jg memuaskan. Sukses terus 👍👍 …",layan ramah cepat layan jg muas sukses,positif,positif
"Pelayanan bagus, nakes nya ramah",layan bagus nakes nya ramah,positif,positif
Pelayanan ramah dan cepat,layan ramah cepat,positif,positif
"Pegawai ramah,
Pelayanan memuaskan",pegawai ramahpelayanan muas,positif,positif
"Pelayanan baik, tempat nyaman kebersihan bagus senang bisa menjadi bagian di rsud",layan nyaman bersih bagus senang rsud,positif,positif
"Semakin kesini semakin baik pelayanannya, terimakasih atas pelayanannya yg sangat baik",kesini layan terimakasih layan yg,positif,positif
"Tempatnya bagus,nyaman,rapi,bersih.
Staff karyawan ramah
Pelayanannya baik.",tempat bagusnyamanrapibersihstaff karyawan ramahpelayanannya,positif,positif
"Pelayanan ramah, cepat dan hasil pemeriksaan dapat dipertanggungjawabkan",layan ramah cepat hasil periksa dipertanggungjawabkan,positif,positif
Pelayanannya maksimal dan bagus,layan maksimal bagus,positif,positif
Pelayanannya bagus dan pegawainya ramah - ramah,layan bagus pegawai ramah ramah,positif,positif
Pegawainya sangat ramah dan pelayanannya memuaskan,pegawai ramah layan muas,positif,positif
mantap pelayanan bagus lingkungan bersih,mantap layan bagus lingkung bersih,positif,positif
RSUD Kajen rumah sakit yang asri semua petugas baik dan ramah... Sukses selalu RSUD Kajen jaya jaya jaya...,rsud kajen rumah sakit asri tugas ramah sukses rsud kajen jaya jaya jaya,positif,positif
"Rumah sakit ,nyaman, bersih, karyawan ramah2, semoga semakin jaya.. sukses..",rumah sakit nyaman bersih karyawan ramah2 moga jaya sukses,positif,positif
"RSUD kajen yang memberikan pelayanan terbaik dan maksimal
semoga RSUD kajen tambah jaya & sukses",rsud kajen layan baik maksimalsemoga rsud kajen jaya sukses,positif,positif
"Pelayananya sangat cepat, petugasnya juga ramah ramah, gedungnya bagus dan bersih.",pelayananya cepat tugas ramah ramah gedung bagus bersih,positif,positif
Sukses terus dan semoga berkembang pesat ✨,sukses moga kembang pesat,positif,positif
Pelayanan terbaik,layan baik,positif,positif
pelayanan sangat bagus,layan bagus,positif,positif
Pelayanan dan bidannya ramah dan tanggapan. Rsud terbaik di pekalongan👍👍👍 …,layan bidan ramah tanggap rsud baik kalong,positif,positif
Rsud kajen luar biasa.. pelayanan paripurna..👏 …,rsud kajen layan paripurna,positif,positif
Rsud kajen rumah sakit rujukan pelayanan yang ramah dan tenaga kesehatan yang profesional,rsud kajen rumah sakit rujuk layan ramah tenaga sehat profesional,positif,positif
"Pelayanannya bagus sat set, pegawainya ramah",layan bagus sat set pegawai ramah,positif,positif
No review text,no review text,positif,positif
"pelayanan sangat baik, fasilitas baik, pegawainya ramah",layan fasilitas pegawai ramah,positif,positif
"pelayanan bagus, pegawainya ramah, melayani dengan sepenuh hati",layan bagus pegawai ramah layan sepenuh hati,positif,positif
Pelayanan nya memuaskan.ramah pegawainya.alhamdulillah tidak kecewa,layan nya memuaskanramah pegawainyaalhamdulillah kecewa,positif,positif
"Pelayanan memuaskan, pegawai ramah👍🏻 …",layan muas pegawai ramah,positif,positif
No review text,no review text,positif,positif
Bagus & baik,bagus,positif,positif
Pelayanannya bagus dan memuaskan pegawainya ramah.,layan bagus muas pegawai ramah,positif,positif
Pelayanan ramah.. Cepat.. Polinya lengkap,layan ramah cepat pol lengkap,positif,positif
Pelayanan bagus,layan bagus,positif,positif
No review text,no review text,positif,positif
Rsud kajen pelayanan nya bagus oke,rsud kajen layan nya bagus oke,positif,positif
"Rumah sakit bersih, pelayanan bagus , staf dan karyawan sangat ramah",rumah sakit bersih layan bagus staf karyawan ramah,positif,positif
"pelayanan sangat baik , perawat dan dokter semuanya ramah",layan awat dokter ramah,positif,positif
"Pelayanan baik,dokter,perawat dan staff baik.
Tempat bagus",layan baikdokterperawat staff baiktempat bagus,positif,positif
No review text,no review text,positif,positif
terimakasih  atas sirawat si rs alhamdulillah,terimakasih sirawat si rs alhamdulillah,positif,positif
Terimakasih atas pelayanan yang terbaik dari rumah sakit 😊 …,terimakasih layan baik rumah sakit,positif,positif
Pelayanan yang diberikan sangat baik dan untuk tempat juga bersih ..,layan bersih,positif,positif
Terima kasih buat semua petugas yang telah membantu dengan ramah,terima kasih tugas bantu ramah,positif,positif
Terima kasih,terima kasih,positif,positif
"Pelayanan buruk
Tidak efisien tidak cepat tanggap
Pasien di layani dengan buruk
Tidak sopan meremehkan pasien",layan buruktidak efisien cepat tanggappasien layan buruktidak sopan remeh pasien,negatif,positif
"Mohon maaf izin bertanya, untuk RSUD Kajen apakah ada spesialis urologi?",mohon maaf izin rsud kajen spesialis urologi,positif,positif
"Pelayanan di ranap anak kurang baik, fasilitas kurang memadai, ruangan terlalu sempit untuk 5 bed tanpa pendingin ruangan, ada kipas angin tapi tidak berfungsi serta tidak ada sekat antar pasien sehingga tidak ada privasi. …",layan ranap anak fasilitas pada ruang sempit 5 bed dingin ruang kipas angin fungsi sekat pasien privasi,negatif,positif
Terimaksih...pelayann memuaskn...fasilitas bagus... Alamanda,terimaksihpelayann memuasknfasilitas bagus alamanda,positif,positif
RS nya bersih,rs nya bersih,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
"Tukang parkirnya suka nambahin tarif parkir. Baru masuk satu jam, untuk tarif parkir motor harusnya 2000, tapi di tarik 3000. Mohon ditindak untuk petugas yang seperti ini.",tukang parkir suka nambahin tarif parkir masuk jam tarif parkir motor 2000 tarik 3000 mohon tindak tugas,negatif,positif
"Hari Selasa tanggal 9 Juli 2024 pukul 23.30an malam, mau tanya tentang ketersedian kamar di bagian UGD tetapi petugas yg berjaga (3 laki-laki) tidak melayani dengan ramah, atau coba tanya untuk kelas perawatan berapa dulu atau bagaimana, …",selasa tanggal 9 juli 2024 2330an malam dian kamar ugd tugas yg jaga 3 lakilaki layan ramah coba kelas awat,negatif,negatif
"Pelayanan baik, ruangan sesuai dengan kemampuan pastinya, kapasitas banyak, hanya saja untuk penyakit tertentu belum ada penanganan khusus di sini sperti spesialis ginjal / kanker. …",layan ruang sesuai mampu pasti kapasitas sakit tangan khusus sperti spesialis ginjal kanker,positif,positif
"Ruang tunggu poli anak sangat minim perlu diperbaiki, sesak penuh, apalagi dicampur ama poli bedah yg mayoritas lansia, ruang laktasi juga jauh harus ke poli kandungan harusnya disediakan juga ruang laktasi didekat poli anak.",ruang tunggu pol anak minim baik sesak penuh campur ama pol bedah yg mayoritas lansia ruang laktasi pol kandung sedia ruang laktasi dekat pol anak,negatif,positif
Terimakasih atas perawatan di alamanda..,terimakasih awat alamanda,positif,positif
Pelayanan baik,layan,positif,positif
Terimakasih atas pelayaanan di rsud kajen ruang alamnda,terimakasih pelayaanan rsud kajen ruang alamnda,positif,positif
Terimakasih atas pelayanan nya sangat ramah dan sangat membantu semoga tetep jadi yang tebaik RSUD Kajen khususnya buat petugas dan pengurus ruang alamda terimakasih atas segala pelayanannya 🙏🙏🙏 …,terimakasih layan nya ramah bantu moga tetep tebaik rsud kajen tugas urus ruang alamda terimakasih layan,positif,positif
Terimakasih Alamanda,terimakasih alamanda,positif,positif
Terima kasih ruangan baru....tempatnya nyaman...perawatnya ramah.....alhamdulillah,terima kasih ruang barutempatnya nyamanperawatnya ramahalhamdulillah,positif,positif
Ini rumah sakit atau penjara?? Masa adek saya di oprasi ibu bawa baju2 adek di marahi pake bahasa jawa dan kenceng ampe ruangan sebelah denger katanya dikatain mau kemah atau ngapain loh kan bawa baju ganti sama karpet buat tdr apa …,rumah sakit penjara adek oprasi bawa baju2 adek marah pake bahasa jawa kenceng ampe ruang belah denger dikatain kemah ngapain loh bawa baju ganti karpet tdr,negatif,negatif
Terima kasih Alamanda,terima kasih alamanda,positif,positif
"Terimakasih atas perawatannya, memuaskan",terimakasih awat muas,positif,positif
Parah pelayanan. Antri poli anak. Udah numpuk ga di panggil yg datang baru numpuk di panggil.  Rs kok kaya gini,parah layan antri pol anak udah numpuk ga panggil yg numpuk panggil rs kaya gin,negatif,negatif
Terimakasih banyak untuk perawatan yang baik di rsud kajen ini,terimakasih awat rsud kajen,positif,positif
"Terima kasih atas pelayanan yg sangat baik ,, salam sehat 😊👍🙏 …",terima kasih layan yg salam sehat,positif,positif
"Selama kakak saya dirawat disini, pelayanan oke  sekali. Perawat ramah satsettt
Ruang PONEK",kakak rawat layan oke awat ramah satsetttruang ponek,positif,positif
Terimakasih disini sangat mmbantu saya baik sekali sangat baik,terimakasih mmbantu,positif,positif
pelayanan buruk!,layan buruk,negatif,negatif
Terimakasih atas pelayanan yg baik selama berada disini.,terimakasih layan yg,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Nyaman bangett🥰🥰 bersihhh …,nyaman bangett bersihhh,positif,positif
Sangat ramah bagus kualitas bagus,ramah bagus kualitas bagus,positif,positif
Perawat nya ramah ramah,awat nya ramah ramah,positif,positif
No review text,no review text,positif,positif
"bagus, nyaman, memuaskan",bagus nyaman muas,positif,positif
Pelayanan joss,layan joss,positif,positif
Halaman nya luas banget,halaman nya luas banget,positif,positif
"Pelayanan nya memuaskan, lingkungan nya bersih",layan nya muas lingkung nya bersih,positif,positif
pelayanan RSUD kajen baik,layan rsud kajen,positif,positif
"sangat bagus, pelayanannya cepat.",bagus layan cepat,positif,positif
"Pelayanannya baik dan cepat, sangat bagus",layan cepat bagus,positif,positif
Bagus,bagus,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Tingkat kan terus dan tetap pertahankan. Terima kasih RSUD Kajen Kab. Pekalongan,tingkat tahan terima kasih rsud kajen kab kalong,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Pelayanan bagus dan bidannya ramah,layan bagus bidan ramah,positif,positif
"Istri saya melahirkan kata dokter harus disesar.Mentang2 pinggul kecil saya sudah panik pusing was was udah tanda tangan segala sampai sidik jari mau sesar jam 20:30wib.Emang pembukaan perlahan dari jam 10 pagi sampai jam 12siang cmn 1, di …",istri lahir dokter disesarmentang2 pinggul panik pusing was was udah tanda tangan sidik jari sesar jam 2030wibemang buka perlahan jam 10 pagi jam 12siang cmn 1,positif,negatif
Pelayanan baik,layan,positif,positif
Pelayanan sangat baik dan cepat,layan cepat,positif,positif
Terima kasih,terima kasih,positif,positif
"Terimakasih, atas layanan baik nya semoga kedepannya menjadi layanan terbaik, aamiin, terimakasih.",terimakasih layan nya moga depan layan baik aamiin terimakasih,positif,positif
Terimakasih untuk RSUD kajen dengan pelayanan yg mudah dan memadahi semoga selalu di tahap yg selalu maju terimakasih 🙏 …,terimakasih rsud kajen layan yg mudah padah moga tahap yg maju terimakasih,positif,positif
trimakasih atas pelayananya.,trimakasih pelayananya,positif,positif
Terimakasih atas pelayaananya .,terimakasih pelayaananya,positif,positif
"Terimakasih untuk pelayanan yang telah diberikan,
Saya sangat puas",terimakasih layan diberikansaya puas,positif,positif
Terimakasih alamanda...ruangan baru,terimakasih alamandaruangan,positif,positif
Pelayanannya sangat ramah,layan ramah,positif,positif
"Pelayanan yang baik, tenaga kesehatannya ramah, sigap, dan antusias serta profesional.",layan tenaga sehat ramah sigap antusias profesional,positif,positif
"Memuaskan pelayanan, tempat strategis dekat dengan pasar dan alun-alun",muas layan strategis pasar alunalun,positif,positif
"Perawatnya baik-baik, melayani dengan sepenuh hati, dan fasilitasnya memadai",awat baikbaik layan sepenuh hati fasilitas pada,positif,positif
Untung gedung barunya rapi,untung gedung baru rapi,positif,positif
"pelayanan yang bagus, dan perawat yang ramah-ramah",layan bagus awat ramahramah,positif,positif
Tempatnya bagus dan bersih,tempat bagus bersih,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Terima kasih atas pelayanan di RS ... Ruangannya bersih dan nyaman,terima kasih layan rs ruang bersih nyaman,positif,positif
Terima kasih RSUD Kajen....ruangannya baru,terima kasih rsud kajenruangannya,positif,positif
"Terimakasih atas pelayanan nya yang baik, semoga sukses teruss",terimakasih layan nya moga sukses teruss,positif,positif
Terima kasih rsud kajen .....ruanganya bersih.perawat nya ramah ramah,terima kasih rsud kajen ruanganya bersihperawat nya ramah ramah,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Terima kasih atas pelayanannya,terima kasih layan,positif,positif
Terima kasih telah merawat ayahku. Terima kasih telah merawat ayahku dan dokternya,terima kasih rawat ayah terima kasih rawat ayah dokter,positif,positif
Ramah,ramah,positif,positif
Pelayanan sangat memuaskan dan cekatan  tindakan. Ruangan bersih dan sangat nyaman. Terimakasih🙏🏼🥰 …,layan muas cekat tindak ruang bersih nyaman terimakasih,positif,positif
stafnya bagus,staf bagus,positif,positif
"Pelayanannya cepat, tempatnya rapih dan nyaman",layan cepat tempat rapih nyaman,positif,positif
Terimakasih....alamanda...sudah merawat keluarga saya,terimakasihalamandasudah rawat keluarga,positif,positif
Terimakasih atas pelayanan yang baik sekali,terimakasih layan,positif,positif
Terimakasi kepada rs kajen atas pelayananyan yang memuaskan.. Pokokmen top,terimakasi rs kajen pelayananyan muas pokokmen top,positif,positif
Terimakasih atas pelayanan di rsud kajen ruangan baru...selama  opnam....,terimakasih layan rsud kajen ruang baruselama opnam,positif,positif
Terima kasih sudah merawat keluarga ku dengan sepenuh  hati.... ruangannya baru lantai 3,terima kasih rawat keluarga ku sepenuh hati ruang lantai 3,positif,positif
"terimakasih atas bantuan medis dan pelayanan yang memuasakan , untuk itu bapak saya sehat kembali",terimakasih bantu medis layan puasa sehat,positif,positif
Terimakasih.... Gedung bagus....,terimakasih gedung bagus,positif,positif
terimakasi atas bantuanya semoga sehat semua,terimakasi bantuanya moga sehat,positif,positif
"Cara bicara bidan saat menangani pasien yg kesakitan mau melahirkan memperlakukan nya kurang ramah .
Dokternya Alhamdulillah baik2. …",bicara bidan tangan pasien yg sakit lahir laku nya ramah dokter alhamdulillah baik2,negatif,positif
